Time,ACCx_taR,ACCy_taR,ACCz_taR,GYRx_taR,GYRy_taR,GYRz_taR,ACCx_taL,ACCy_taL,ACCz_taL,GYRx_taL,GYRy_taL,GYRz_taL
0.062,8.560353125,-4.617796875,3.0364,-0.06871875,-0.0010062499999999,-0.1051437499999999,8.147821827411168,-3.504692893401016,-3.613720812182741,-0.0401015228426395,-0.0218350253807106,0.0041020304568528
0.063,8.5610265625,-4.6168984375,3.0361,-0.068609375,-0.0010531249999999,-0.1058718749999999,8.147943147208121,-3.504376649746193,-3.613696954314721,-0.0401192893401015,-0.021843654822335,0.004092385786802
0.064,8.5617,-4.616,3.0358,-0.0685,-0.0010999999999999,-0.1065999999999999,8.148064467005076,-3.504060406091371,-3.6136730964467008,-0.0401370558375634,-0.0218522842639593,0.0040827411167512
0.065,8.562509230769232,-4.613716923076923,3.036169230769231,-0.0683938461538461,-0.0011384615384615,-0.1067076923076923,8.14818578680203,-3.503744162436549,-3.613649238578681,-0.0401548223350253,-0.0218609137055837,0.0040730964467005
0.066,8.563318461538461,-4.6114338461538456,3.0365384615384614,-0.0682876923076923,-0.001176923076923,-0.1068153846153846,8.148307106598985,-3.5034279187817265,-3.61362538071066,-0.0401725888324872,-0.0218695431472081,0.0040634517766497
0.067,8.564127692307693,-4.6091507692307685,3.0369076923076923,-0.0681815384615384,-0.0012153846153846,-0.1069230769230769,8.148428426395938,-3.503111675126904,-3.61360152284264,-0.0401903553299492,-0.0218781725888324,0.0040538071065989
0.068,8.564936923076923,-4.606867692307691,3.037276923076923,-0.0680753846153846,-0.0012538461538461,-0.1070307692307692,8.148549746192893,-3.502795431472081,-3.61357766497462,-0.0402081218274111,-0.0218868020304568,0.0040441624365482
0.069,8.565746153846154,-4.604584615384614,3.037646153846154,-0.0679692307692307,-0.0012923076923076,-0.1071384615384615,8.148671065989847,-3.502479187817259,-3.6135538071065993,-0.040225888324873,-0.0218954314720812,0.0040345177664974
0.07,8.566555384615384,-4.602301538461538,3.038015384615385,-0.0678630769230769,-0.0013307692307692,-0.1072461538461538,8.148792385786802,-3.502162944162437,-3.6135299492385786,-0.040243654822335,-0.0219040609137055,0.0040248730964467
0.071,8.567364615384616,-4.600018461538461,3.0383846153846155,-0.067756923076923,-0.0013692307692307,-0.1073538461538461,8.148913705583755,-3.5018467005076146,-3.6135060913705583,-0.0402614213197969,-0.0219126903553299,0.0040152284263959
0.072,8.568173846153847,-4.597735384615384,3.0387538461538464,-0.0676507692307692,-0.0014076923076923,-0.1074615384615384,8.14903502538071,-3.5015304568527923,-3.613482233502538,-0.0402791878172588,-0.0219213197969543,0.0040055837563451
0.073,8.568983076923077,-4.595452307692307,3.0391230769230773,-0.0675446153846153,-0.0014461538461538,-0.1075692307692307,8.149156345177664,-3.50121421319797,-3.6134583756345178,-0.0402969543147207,-0.0219299492385786,0.0039959390862944
0.074,8.569792307692309,-4.59316923076923,3.039492307692308,-0.0674384615384615,-0.0014846153846153,-0.1076769230769231,8.149277664974619,-3.500897969543148,-3.6134345177664975,-0.0403147208121827,-0.021938578680203,0.0039862944162436
0.075,8.570601538461538,-4.590886153846153,3.0398615384615386,-0.0673323076923076,-0.0015230769230769,-0.1077846153846154,8.149398984771572,-3.5005817258883254,-3.613410659898477,-0.0403324873096446,-0.0219472081218274,0.0039766497461929
0.076,8.57141076923077,-4.588603076923076,3.040230769230769,-0.0672261538461538,-0.0015615384615384,-0.1078923076923077,8.149520304568528,-3.500265482233503,-3.613386802030457,-0.0403502538071065,-0.0219558375634517,0.0039670050761421
0.077,8.57222,-4.586319999999999,3.0406000000000004,-0.0671199999999999,-0.0016,-0.108,8.149641624365481,-3.499949238578681,-3.6133629441624366,-0.0403680203045685,-0.0219644670050761,0.0039573604060913
0.078,8.573029230769231,-4.584036923076922,3.040969230769231,-0.0670138461538461,-0.0016384615384615,-0.1081076923076923,8.149762944162436,-3.4996329949238585,-3.613339086294416,-0.0403857868020304,-0.0219730964467004,0.0039477157360406
0.079,8.573838461538463,-4.581753846153845,3.0413384615384618,-0.0669076923076922,-0.001676923076923,-0.1082153846153846,8.14988426395939,-3.499316751269036,-3.613315228426396,-0.0404035532994923,-0.0219817258883248,0.0039380710659898
